Admin,sysadmin,sysadmin123,0
Wykladowca,Jan,Jan123,0,122993
Wykladowca,Robert,Robert123,0,121121
Wykladowca,Marcin,Marcin123,0,102937
Wykladowca,Maciej,Maciej123,0,104709
Wykladowca,Krzysztof,Krzysztof123,0,122363
Student,Albert,albert123,5,105981
Student,Krzysio,Krzysio123,10,Krzysio
Student,user,user123,5,118263
Student,Ignacy,Ignacy123,5,117794
Student,login,login123,5,101691
Wykladowca,newUser123,newUser123,0,106023
Student,testUser,testUser123,5,104083
Student,Adriana,Adriana123,5,120398
Student,test_login,test_login123,5,130759
Wykladowca,test_teacher,test_teacher123,0,128092
Student,login_test_,login_test_123,5,105869
Student,Ryszard,Ryszard123,5,117526
